地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
云南省,2010,4602,233.91,36230,2530.2,5900,1886,4739
西藏自治区,2010,300,16.62,8066,620.4,969,409,781
陕西省,2010,3735,190.64,87457,3319.8,6144,1944,6004
甘肃省,2010,2560,85.04,51404,1116.2,3728,1506,3090
青海省,2010,563,30.99,10439,390.4,1494,573,1206
宁夏回族自治区,2010,633,41.52,12919,658,2564,442,1806
新疆维吾尔自治区,2010,2185,127.14,30413,903.3,6028,2023,5298
北京市,2009,1860,368.11,121373,2054.8,4426,981,3814
天津市,2009,1228,130,21090,2256.2,4608,945,3839
河北省,2009,7034,395.8,70579,4451.7,7422,2766,6802
山西省,2009,3427,205.95,31122,3501.2,8829,2773,7697
内蒙古自治区,2009,2458,150.06,17998,1528.5,4632,1440,4166
辽宁省,2009,4341,242.07,81585,3145.6,6657,2156,6973
吉林省,2009,2740,123.74,52723,2261.4,6313,1483,5277
黑龙江省,2009,3826,160.17,32947,2110,3638,1419,3331
上海市,2009,2210,147.11,2995,1216.3,2702,1042,2831
江苏省,2009,7810,436.81,191001,5496.9,13997,5202,14542
浙江省,2009,5276,431.73,188364,8847,25489,5689,23391
安徽省,2009,6131,167.36,135984,2426.8,10307,2931,8191
福建省,2009,3666,159.34,71586,4687.4,16247,2911,13633
江西省,2009,4432,107.08,64770,3921,5163,1644,4262
山东省,2009,9470,553.51,226134,5616.1,16948,4518,16166
河南省,2009,9487,316.07,136279,3302.9,10159,2018,8587
湖北省,2009,5720,168.32,88703,2850.3,8201,1952,6630
湖南省,2009,6406,167.59,133359,3822,10082,2154,7444
广东省,2009,10130,658.9,406704,8552.9,38598,6542,32455
广西壮族自治区,2009,4856,119.85,65405,1862.7,6504,2437,5196
海南省,2009,864,30.64,39461,399.6,1873,499,1323
重庆市,2009,2859,90.89,110150,1048.4,9178,1031,5992
四川省,2009,8185,284.69,211288,5769.6,25179,3057,21680
贵州省,2009,3537,91.43,59981,1213.9,2606,1210,1816
云南省,2009,4571,189.1,32775,2371.7,6549,1888,5075
西藏自治区,2009,296,14.85,7759,585.1,748,369,678
陕西省,2009,3727,146.27,79033,2988.8,5404,2034,5501
甘肃省,2009,2555,65.75,47755,1224.9,3353,1553,2937
青海省,2009,557,24.35,9603,392.8,1334,578,1146
宁夏回族自治区,2009,625,31.54,12034,534.2,2192,457,1856
新疆维吾尔自治区,2009,2159,101.53,28541,996.2,5787,2080,5120
北京市,2008,1771,313.68,117118,2066.6,4530,986,3943
天津市,2008,1176,108.47,20850,3069.7,4494,1225,4048
河北省,2008,6989,316.77,66242,4821,8056,2928,7621
山西省,2008,3411,174.22,31397,3423.7,8937,2910,7867
内蒙古自治区,2008,2444,121.07,16207,1441.8,5450,1610,5056
辽宁省,2008,4315,194.98,77510,3762.8,6794,2280,7214
吉林省,2008,2734,98.98,50511,2448.3,6691,1660,5782
黑龙江省,2008,3825,126.21,31379,2005.7,4905,1703,4528
上海市,2008,2141,132.12,2934,1476.9,2553,1100,2745
江苏省,2008,7762,349.51,174000,5008.5,15377,5252,15431
浙江省,2008,5212,352.84,206110,9803.3,28917,5864,25911
安徽省,2008,6135,134.89,124427,2308.2,10282,3027,8412
福建省,2008,3639,130.76,68409,4876.7,18831,3071,15657
江西省,2008,4400,82.97,60573,5527.6,6853,1779,5914
山东省,2008,9417,426.31,205917,6872,20058,5026,19594
河南省,2008,9429,249.04,122414,4910.5,13024,2822,11529
湖北省,2008,5711,136.86,82532,2790.5,9547,2022,7686
湖南省,2008,6380,134.04,124274,3740.9,9899,2530,7622
广东省,2008,9893,573.46,462997,10013.6,46998,7182,39389
广西壮族自治区,2008,4816,94.89,60645,2023.6,7395,2677,6106
海南省,2008,854,25.81,36578,434.4,2114,469,1449
重庆市,2008,2839,73.64,102680,1089.8,10905,1048,7262
四川省,2008,8138,219.05,196055,5830.8,21983,3344,17037
贵州省,2008,3596,71.92,36019,1480.2,3209,1348,2219
云南省,2008,4543,153.57,31157,2542,5917,2082,5037
西藏自治区,2008,292,12.86,6786,620.4,660,384,600
陕西省,2008,3718,111.66,70566,2917.2,6889,2156,7205
甘肃省,2008,2551,50.57,43962,1447.3,3691,1556,3364
青海省,2008,554,20.25,8996,269.8,1291,604,1120
宁夏回族自治区,2008,618,24.35,11363,818.5,2369,525,2172
新疆维吾尔自治区,2008,2131,83.86,31506,1129.7,6300,2314,5684
北京市,2007,1676,273.36,9275,2620.2,6257,1182,5335
天津市,2007,1115,93.25,5253,2532.9,5196,849,4482
河北省,2007,6943,273.25,82648,5363.7,9101,3372,8503
山西省,2007,3393,144.33,39632,3860.3,10509,3062,9078
内蒙古自治区,2007,2429,99.77,35039,1807.4,7169,1834,6305
辽宁省,2007,4298,171.36,59562,3610.1,7812,2534,8005
吉林省,2007,2730,86.8,26506,3218.4,8099,1870,6956
黑龙江省,2007,3824,108.1,54592,2613.3,7470,1906,6715
上海市,2007,2064,119.7,2872,1933.2,3766,1171,3952
江苏省,2007,7723,296.31,179206,6309.6,18617,5884,18150
浙江省,2007,5155,301.61,179501,11432.9,35139,6425,30664
安徽省,2007,6118,113.42,82247,3467,17153,3682,13273
福建省,2007,3612,110.87,60088,5930.6,23865,3541,20040
江西省,2007,4368,69.9,38644,5564.6,8671,1939,7535
山东省,2007,9367,359.59,117309,8302.7,25809,5760,25867
河南省,2007,9360,210.32,115460,6320.5,19087,3430,16314
湖北省,2007,5699,115.46,77514,3425.3,11355,2142,8986
湖南省,2007,6355,109.83,116780,4962.1,12982,3055,9899
广东省,2007,9660,505.29,186835,12075.3,55566,7994,46558
广西壮族自治区,2007,4768,79.64,57351,2690,9821,2926,7652
海南省,2007,845,22.11,39050,679.4,2067,527,1534
重庆市,2007,2816,63.63,73316,1320.8,11893,1218,8236
四川省,2007,8127,183.62,196871,7677.6,28509,3790,21598
贵州省,2007,3632,60.05,70377,1848.8,3164,1356,2292
云南省,2007,4514,133.23,42913,2214.1,6249,2323,5425
西藏自治区,2007,289,11.61,460,642,741,438,638
陕西省,2007,3708,91.13,43555,3822.6,8484,2270,9063
甘肃省,2007,2548,43.04,18510,1300.9,4286,1548,3808
青海省,2007,552,15.6,5214,311.1,1108,633,1041
宁夏回族自治区,2007,610,20.09,7752,768.9,2805,575,2570
新疆维吾尔自治区,2007,2095,72.1,26348,1252,7692,2413,6735
北京市,2006,1601,239.12,2482,2772,6681,1373,5808
天津市,2006,1075,79.22,3807,3319.2,5865,878,4913
河北省,2006,6898,229.34,77931,5846,9580,3486,8631
山西省,2006,3375,121.55,38416,5422.9,12340,3413,10981
内蒙古自治区,2006,2415,83.79,31817,1879.3,7058,1874,6481
辽宁省,2006,4271,159.22,53317,4397.7,8325,2611,8671
吉林省,2006,2723,72.25,24198,3703.9,7820,2138,7415
黑龙江省,2006,3823,94,51023,3236.8,7139,2164,6732
上海市,2006,1964,107.04,2784,3301,6665,1231,6585
江苏省,2006,7656,240.8,153725,9179.7,23458,6891,23852
浙江省,2006,5072,248.36,165441,14233.4,42313,6619,36768
安徽省,2006,6110,94.61,74668,4848.1,17987,3901,14151
福建省,2006,3585,89.57,55713,8742.3,25097,3871,21924
江西省,2006,4339,58.07,38454,6073.1,10079,2190,8867
山东省,2006,9309,299.23,103298,9511.2,28945,6309,30056
河南省,2006,9392,183.38,101345,6849.2,19193,4046,18402
湖北省,2006,5693,98.74,69335,4750,11976,2304,9590
湖南省,2006,6342,91.76,112135,5745.5,16493,3563,12202
广东省,2006,9442,428.95,175567,16384.9,67637,8828,56217
广西壮族自治区,2006,4719,66.14,52609,2803.6,11337,3016,8895
海南省,2006,836,19.23,30044,603.1,1960,427,1398
重庆市,2006,2808,56.07,58179,1775.3,12082,1299,9001
四川省,2006,8169,157.23,184852,8283.3,29342,4090,24338
贵州省,2006,3690,49.36,65786,1869.4,3643,1422,2734
云南省,2006,4483,114.72,40861,2761.9,8332,2627,6692
西藏自治区,2006,285,9.82,445,731.1,1001,536,751
陕西省,2006,3699,75.7,38606,5358.2,9995,2711,10546
甘肃省,2006,2547,37.26,17319,1788.3,5315,1701,4828
青海省,2006,548,13.34,4861,374.8,1199,662,939
宁夏回族自治区,2006,604,16.86,7191,748,3434,666,2985
新疆维吾尔自治区,2006,2050,62.63,24278,1662.8,8848,2608,7428
北京市,2005,1538,209.73,2261,2915.6,6888,1515,6364
天津市,2005,1043,67.68,2961,2455.8,4939,970,4406
河北省,2005,6851,198.23,75402,7646.2,11449,4075,11187
山西省,2005,3355,107.44,36456,5782.9,13575,3819,13342
内蒙古自治区,2005,2403,65.82,28604,2784.7,8000,2106,8453
辽宁省,2005,4221,134.87,49917,5907,9159,2919,10341
吉林省,2005,2716,65.27,22870,4468.2,6837,2428,9659
黑龙江省,2005,3820,85.9,46809,3464.9,7655,2164,7506
上海市,2005,1890,95.16,2468,7960.9,8850,1393,9238
江苏省,2005,7588,192.25,138287,12668.1,25530,7603,27690
浙江省,2005,4991,202.92,152222,15718,48262,6881,43266
安徽省,2005,6120,80.5,68927,6118.5,19771,4355,17474
福建省,2005,3557,69.79,52452,9278.9,27696,4125,26195
江西省,2005,4311,48.36,37253,7697.6,8370,2428,8585
山东省,2005,9248,246.96,93178,11816.4,32456,7050,35251
河南省,2005,9380,152.17,91920,10674.9,22831,4587,23778
湖北省,2005,5710,86.24,66183,4958,10555,2417,9585
湖南省,2005,6326,78.34,109728,7131.4,18271,3832,15013
广东省,2005,9194,372.96,139158,20882.8,77591,9959,67756
广西壮族自治区,2005,4660,59.14,48740,4405.6,12562,3489,10717
海南省,2005,828,16.4,25705,638.2,1964,497,1479
重庆市,2005,2798,46.93,60588,2598.5,13580,1484,10605
四川省,2005,8212,138,159450,10745.4,30906,4415,29628
贵州省,2005,3730,46.77,61414,2507.1,3984,1647,3315
云南省,2005,4450,103.6,38509,3502.2,7549,2901,6870
西藏自治区,2005,280,7.07,385,877.8,891,540,845
陕西省,2005,3690,63.21,34780,6241.6,8905,2698,12011
甘肃省,2005,2545,33.74,16247,2252.8,5406,1799,5414
青海省,2005,543,12.18,4525,410.9,1121,736,952
宁夏回族自治区,2005,596,15.63,6757,1055.8,3922,796,3803
新疆维吾尔自治区,2005,2010,56.42,23225,2834.5,10436,3110,9526
北京市,2004,1493,182.42,41463,4058,8284,1631,8536
天津市,2004,1024,58.34,2457,3273.8,4859,992,5485
河北省,2004,6809,180.91,72500,7760.1,15088,4565,15095
山西省,2004,3335,81.63,35688,8403.2,13843,4172,17206
内蒙古自治区,2004,2393,60.18,25510,2798.8,8500,2239,9889
辽宁省,2004,4217,116.27,47370,7398.9,10212,3346,12985
吉林省,2004,2709,57.31,22293,5046.3,6892,2515,9955
黑龙江省,2004,3817,74.16,42170,4331.4,8318,2463,8532
上海市,2004,1835,83.51,2465,19148.6,11304,1543,27136
江苏省,2004,7523,161.19,122218,17655.8,23493,8100,31431
浙江省,2004,4925,162.34,142177,27853.4,50748,7549,50039
安徽省,2004,6228,68.28,65075,6996,17880,4794,18006
福建省,2004,3529,58.01,50862,9408.8,24314,4393,24274
江西省,2004,4284,40.48,35312,6370,10004,2760,10531
山东省,2004,9180,211.43,84290,13283.3,36077,7804,39815
河南省,2004,9717,130.97,85016,12443,24628,5467,26540
湖北省,2004,5698,77.83,63127,7741.2,11724,2530,13584
湖南省,2004,6698,71.78,99975,8546.7,18382,3824,16116
广东省,2004,9111,305.4,131435,24127.2,78562,10657,68423
广西壮族自治区,2004,4889,49.07,45578,5427,14258,3641,13263
海南省,2004,818,14.55,24981,819.4,2232,520,2041
重庆市,2004,2793,34.84,60833,2894,12619,1619,11109
四川省,2004,8090,126.78,150176,11253.8,28218,4890,28484
贵州省,2004,3904,34.09,56077,2353.3,3488,1831,3395
云南省,2004,4415,88.86,36502,5195.9,7250,3210,11421
西藏自治区,2004,276,8.24,256,956.4,1001,594,1097
陕西省,2004,3681,62.53,31763,6242.6,8988,2949,13348
甘肃省,2004,2541,19.39,15050,2512.2,5566,1992,6361
青海省,2004,539,10.45,4193,565.4,1428,742,1212
宁夏回族自治区,2004,588,12.4,6359,1312,3802,864,4216
新疆维吾尔自治区,2004,1963,50.07,21355,2964.8,8902,2881,8364
北京市,2003,1456,163.07,24940,4361.4,9877,1641,10842
天津市,2003,1011,53.78,2109,5460.5,5892,1129,10267
河北省,2003,6769,155.61,60767,10642.6,19260,4789,24333
山西省,2003,3314,73.82,34328,8783,14145,3623,18556
内蒙古自治区,2003,2386,49.85,20831,2368.9,7995,2103,9833
辽宁省,2003,4210,103.54,41076,8908.6,12233,3536,18443
吉林省,2003,2704,53.07,20112,5280.1,8057,2227,11127
黑龙江省,2003,3815,76.17,39347,4605.7,9599,2447,9954
上海市,2003,1766,71.9,2052,39721.2,11179,1406,54196
江苏省,2003,7458,131.77,118046,24302,21555,6640,40383
浙江省,2003,4857,135.82,133968,54268.1,36086,7149,56975
安徽省,2003,6163,64.73,59544,8561,18572,4155,21791
福建省,2003,3502,52.08,45483,14229.7,26003,3993,33290
江西省,2003,4254,35.56,33196,7783.4,11542,2818,13998
山东省,2003,9125,175.74,72754,17702,41030,8905,49414
河南省,2003,9667,119.75,76301,15529,30925,5756,40477
湖北省,2003,5685,72.86,58371,9671.7,14251,2729,20047
湖南省,2003,6663,65.08,90353,10547.7,20562,3664,19414
广东省,2003,8963,257.96,122265,31387.5,73170,11151,68903
广西壮族自治区,2003,4857,43.44,40524,7066.5,13915,3607,15221
海南省,2003,811,12.58,24037,1156.4,2057,533,2335
重庆市,2003,2803,34.25,55673,4291.3,11326,1037,16086
四川省,2003,8176,113.87,133782,13123.4,31169,4907,37326
贵州省,2003,3870,32.46,52695,2815.2,4260,1976,5005
云南省,2003,4376,77.09,33039,9783.5,7083,3138,20676
西藏自治区,2003,272,6.06,125,1266.7,1161,621,1317
陕西省,2003,3672,54.01,28159,3893.3,9406,2324,12502
甘肃省,2003,2537,27.39,13732,3498.9,5948,2090,7659
青海省,2003,534,10.47,3870,737.6,1635,744,1619
宁夏回族自治区,2003,580,12.39,5605,1426.1,4237,889,5249
新疆维吾尔自治区,2003,1934,46.76,17251,3741.6,10044,2645,10269
北京市,2002,1423,133.93,22103,4112,10456,1499,12053
天津市,2002,1007,48.33,1870,5402.9,6021,1218,10217
河北省,2002,6735,135.74,71081,13368.5,28662,6182,37895
山西省,2002,3294,63.85,35480,7931,15416,3644,19641
内蒙古自治区,2002,2384,42.73,22421,2446.2,7984,2143,9572
辽宁省,2002,4203,88.68,43554,11179.1,14906,4210,19777
吉林省,2002,2699,47.57,19904,5610.8,14304,2304,27401
黑龙江省,2002,3813,60.28,41490,4936.1,10593,2446,11471
上海市,2002,1713,62.3,2046,29754.2,15585,1398,46733
江苏省,2002,7406,104.5,110139,23653.4,26171,6947,50001
浙江省,2002,4776,107.83,128980,52382.8,34975,6642,62085
安徽省,2002,6144,54.66,62087,9462.4,21292,4557,28114
福建省,2002,3476,43.63,46570,15256.9,26735,3959,36080
江西省,2002,4222,30.31,34183,7456.3,14669,3163,17772
山东省,2002,9082,150.53,71803,17581.8,47510,9167,56818
河南省,2002,9613,105.82,85078,14697.8,36282,6618,45427
湖北省,2002,5672,62.33,58523,8154.9,15822,2776,20469
湖南省,2002,6629,57.67,91653,9100.4,27468,3658,28056
广东省,2002,8842,230.89,108509,35833.8,75040,12035,78929
广西壮族自治区,2002,4822,40.14,42459,6887.2,15109,3633,16205
海南省,2002,803,10.94,22979,1186.3,2051,500,2369
重庆市,2002,2814,29.07,58512,4683.1,12352,1076,16455
四川省,2002,8110,98.97,135609,13984.1,34709,5453,49858
贵州省,2002,3837,29.29,53478,2420.1,3246,1760,4259
云南省,2002,4333,69.94,36726,10732.7,8843,3146,20700
西藏自治区,2002,268,5.87,128,881.8,840,462,1065
陕西省,2002,3662,48.34,28663,3864.1,10260,2340,12771
甘肃省,2002,2531,25.68,13420,3264.9,6363,2188,7696
青海省,2002,529,8.63,3556,684.6,1628,708,1628
宁夏回族自治区,2002,572,9.59,5832,1748.4,7583,986,11525
新疆维吾尔自治区,2002,1905,45.15,16421,3779.5,9199,2563,10095
北京市,1999,,95.14,9878,15539.4,10607,1502,32292
天津市,1999,,43.67,1671,4991.4,4681,1042,6870
河北省,1999,,91.08,56862,5494.2,7399,3400,9102
山西省,1999,,49.27,26252,2605.1,5204,1854,6572
内蒙古自治区,1999,,33.24,18576,1894.5,4395,1649,6744
辽宁省,1999,,87.71,38382,8645.7,7667,2872,14606
吉林省,1999,,34.28,17352,2825.6,3729,2118,6884
黑龙江省,1999,,49.27,38562,1235.9,2301,1377,3092
上海市,1999,,42.55,1127,15929.7,7774,726,26108
江苏省,1999,,63.92,95564,16546.4,15448,6123,29872
浙江省,1999,,57.59,111771,33679.1,26684,5731,46217
安徽省,1999,,32.57,57120,3445.5,6729,2952,8233
福建省,1999,,27.82,63136,9730,16184,3399,19191
江西省,1999,,22.4,30549,3856.6,5645,2803,7990
山东省,1999,,98.13,56846,14298,27878,8674,41164
河南省,1999,,76.59,73493,7232.2,12025,3738,13762
湖北省,1999,,46.46,55894,5450.6,11017,3941,12902
湖南省,1999,,42.73,81675,7776.4,14548,3650,14981
广东省,1999,,143.8,85611,20232.5,43834,7487,38339
广西壮族自治区,1999,,28.13,37412,3715.1,6856,2665,7265
海南省,1999,,9.59,17836,1310.3,2028,408,2093
重庆市,1999,,18.84,48343,2608,5268,1032,8030
四川省,1999,,68.78,107907,6306.2,14077,3725,16421
贵州省,1999,,21.71,46807,1596.1,1370,1133,1885
云南省,1999,,57.8,30796,4300.7,3517,2003,6006
西藏自治区,1999,,3.87,78,591.3,451,210,744
陕西省,1999,,34.02,25000,3585.9,7258,2180,10112
甘肃省,1999,,20.68,11223,773.5,1462,1294,2002
青海省,1999,,8.35,3055,483.9,1161,441,1305
宁夏回族自治区,1999,,7.79,4860,1107,1961,835,2768
新疆维吾尔自治区,1999,,35.17,15366,4615.1,6922,2565,9308
北京市,1998,,89.85,6704,16454.6,8469,1487,35779
天津市,1998,,40.02,1651,3508.2,2740,851,4166
河北省,1998,,81.03,53761,5059.4,6488,3166,7948
山西省,1998,,45.77,24612,2309.7,3742,1702,4832
内蒙古自治区,1998,,29.19,17552,1614.8,3228,1281,5267
辽宁省,1998,,66.51,40468,9182,8772,2853,16741
吉林省,1998,,33.71,16431,3720.9,4074,2265,7922
黑龙江省,1998,,46.2,37439,1250.2,1889,1523,2823
上海市,1998,,38.69,1922,15187.8,6512,781,23998
江苏省,1998,,56.11,92215,14180.9,13025,6190,24567
浙江省,1998,,47.83,111847,24891.1,17759,5500,28707
安徽省,1998,,30.8,55715,3303.6,4715,2706,5887
福建省,1998,,24.81,57935,10957,15651,3587,19884
江西省,1998,,20.92,28746,2258.1,2762,1959,4312
山东省,1998,,90.04,47574,9316.3,14476,6427,21319
河南省,1998,,68.09,69917,7193.4,10939,3679,13573
湖北省,1998,,43.22,51786,5040.1,8073,3590,10336
湖南省,1998,,41.58,73681,5999.9,9868,3271,9971
广东省,1998,,135.51,120810,22922.3,36038,8229,38830
广西壮族自治区,1998,,27.25,36006,3381.8,5167,2150,5478
海南省,1998,,9.06,14733,1029.7,1512,364,1501
重庆市,1998,,16.6,44872,2082.3,3698,1035,6286
四川省,1998,,64.56,123486,6040,12680,3128,15080
贵州省,1998,,19.68,42793,1734.2,1457,1232,2345
云南省,1998,,52.3,28048,3545.5,2959,1961,5565
西藏自治区,1998,,3.8,71,494.5,316,242,659
陕西省,1998,,30.33,24500,4019.4,6875,2166,10232
甘肃省,1998,,19.12,10796,678.7,1289,1252,1816
青海省,1998,,7.76,2889,695.4,1138,562,1349
宁夏回族自治区,1998,,6.75,4606,950.5,1270,635,1971
新疆维吾尔自治区,1998,,32.21,13766,3949.1,5140,2293,6985
北京市,1997,,78.43,4903,13477.1,5638,919,24968
天津市,1997,,36.47,1640,2176.8,1161,433,2093
河北省,1997,,77.34,33755,5734.8,6448,3203,9123
山西省,1997,,42.38,21952,2381.5,3199,1679,4481
内蒙古自治区,1997,,25.45,16287,1802.6,3297,1323,5677
辽宁省,1997,,67.54,38578,9635.6,8577,2912,16552
吉林省,1997,,33.14,14821,3469.6,3653,2358,7976
黑龙江省,1997,,47.21,34990,1058.6,1817,1370,2691
上海市,1997,,38.34,1784,13682.4,5831,780,21565
江苏省,1997,,51.99,88826,10170.8,6938,5030,12898
浙江省,1997,,41.58,108654,23507,15618,5465,25139
安徽省,1997,,28.36,54321,3030.8,3943,2756,5735
福建省,1997,,22.18,55468,10034,12578,3385,17644
江西省,1997,,19.02,30210,1997.2,2515,1917,4154
山东省,1997,,84.75,41144,7680.8,10824,6002,15269
河南省,1997,,60.35,65786,6387.3,9963,3569,13135
湖北省,1997,,41.43,50030,5453.7,7061,3551,9774
湖南省,1997,,38.12,73233,6586.6,9778,3308,10406
广东省,1997,,123.43,119672,26020.3,33020,7592,38820
广西壮族自治区,1997,,25.21,34752,5027.1,5092,2060,5467
海南省,1997,,9.51,15875,1005.3,1232,307,1263
重庆市,1997,,17.39,41143,1797.6,2722,929,5237
四川省,1997,,54.23,127102,6173.3,10485,3028,13955
贵州省,1997,,18,41169,1789.7,1397,1048,2414
云南省,1997,,47.1,25947,2764.7,2525,1998,4615
西藏自治区,1997,,3.5,124,451.9,277,181,573
陕西省,1997,,26.99,24420,4717,6773,2273,11137
甘肃省,1997,,17.12,10319,557.1,1184,1195,1764
青海省,1997,,7.19,3815,999.3,1202,482,1511
宁夏回族自治区,1997,,6.01,4250,974.9,1224,672,2000
新疆维吾尔自治区,1997,,29.33,19613,4070.4,4156,2136,6181
北京市,1996,,62.18,4395,9357.8,4239,851,14688
天津市,1996,,32.34,1496,2271.9,921,438,2078
河北省,1996,,69.4,32303,7061.3,8148,3757,12151
山西省,1996,,38.41,20080,1942,2723,1523,4073
内蒙古自治区,1996,,21.04,15418,1865.3,3090,1304,5957
辽宁省,1996,,63.48,34151,9261.3,8123,2866,16152
吉林省,1996,,26.8,13728,3226.8,3676,2386,7945
黑龙江省,1996,,40.12,28662,1041.2,1662,1441,2589
上海市,1996,,34.28,1600,13464.9,4380,783,20058
江苏省,1996,,47.09,86801,9547.9,6138,4913,12236
浙江省,1996,,37.44,107317,20900.9,13926,5438,22266
安徽省,1996,,28.1,54278,2576.2,3624,2719,5424
福建省,1996,,20.13,51075,8759.8,11052,3153,16525
江西省,1996,,17.35,28061,2079.4,2497,1861,4557
山东省,1996,,82.96,39685,7240.5,9854,5831,14835
河南省,1996,,51.41,62464,6464.5,9492,3552,13343
湖北省,1996,,37.9,49850,5326.6,5892,3439,8948
湖南省,1996,,37.48,71087,6967.4,10448,3368,10994
广东省,1996,,116.33,119938,25889.8,27635,7664,38967
广西壮族自治区,1996,,23.71,32582,3547.3,5136,1923,5462
海南省,1996,,9.87,12481,1398.6,1134,339,1384
重庆市,1996,,15.72,37410,,,,
四川省,1996,,62.55,140000,7307.1,12694,4366,17767
贵州省,1996,,16.55,40245,1770.5,1538,1232,2815
云南省,1996,,38.81,22563,2525.7,2458,1944,4246
西藏自治区,1996,,3.05,54,406.9,515,267,553
陕西省,1996,,26.53,22320,4158,6264,2125,10774
甘肃省,1996,,16.5,10509,573.8,1177,1151,1813
青海省,1996,,6.57,2500,836.3,1111,527,1516
宁夏回族自治区,1996,,5.76,3792,914.1,1360,631,2105
新疆维吾尔自治区,1996,,25.93,12664,3084.7,3540,1863,5464
