地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
内蒙古自治区,2020,2403,616.85,3224,2265.6,2886,809,3027
辽宁省,2020,4255,931.56,26211,1956.1,4490,1933,4942
吉林省,2020,2399,482.2,11438,4077.7,11701,1987,10503
黑龙江省,2020,3171,555.33,7608,3007,5073,993,4669
上海市,2020,2488,442.34,1332,614.3,200,812,862
江苏省,2020,8477,2038.04,67664,5642.7,8675,3805,10747
浙江省,2020,6468,1773.38,38861,5012.6,9653,3037,11066
安徽省,2020,6105,986.54,22776,5239.5,10732,2270,9412
福建省,2020,4161,730.47,14882,1996.3,12274,1555,9752
江西省,2020,4519,656.04,33643,5338.4,5535,1955,5535
山东省,2020,10165,2537.1,19475,4986.1,11575,3407,12566
河南省,2020,9941,1751.58,46322,7431.1,12643,2452,12257
湖北省,2020,5745,931.98,21731,13969.8,25322,4258,23052
湖南省,2020,6645,952.19,44144,6409.7,5320,3314,6462
广东省,2020,12624,2500.41,54946,7524.6,24662,4678,25414
广西壮族自治区,2020,5019,750.44,26771,6457.8,20519,3882,18336
海南省,2020,1012,149.05,4566,1825.7,2454,649,2105
重庆市,2020,3209,503.83,31450,1269.7,4767,922,4042
四川省,2020,8371,1289.94,45258,7292,11082,2405,9334
贵州省,2020,3858,578.26,33584,8768.8,16216,2957,13963
云南省,2020,4722,802.15,19232,2659.6,5739,2525,6344
西藏自治区,2020,366,61.54,576,952.3,610,134,482
陕西省,2020,3955,734.74,29581,3417.7,5015,1040,4871
甘肃省,2020,2501,374.78,22478,688.8,2796,1138,2778
青海省,2020,593,129.1,3314,1272.6,1566,517,1582
宁夏回族自治区,2020,721,170.95,2903,685.1,1888,465,1939
新疆维吾尔自治区,2020,2590,469.43,4948,883.4,4353,1448,4437
北京市,2019,2190,590.32,48151,3513,2788,1258,3108
天津市,2019,1385,308.88,12206,4145.9,6632,736,6703
河北省,2019,7447,1647.85,31719,4777.2,4191,2494,4890
山西省,2019,3497,710.55,14010,5831.4,8825,2052,8427
内蒙古自治区,2019,2415,576.74,6518,2403.3,4401,981,4233
辽宁省,2019,4277,861.09,54599,2154.2,4300,1946,4733
吉林省,2019,2448,451.11,22881,2264.3,4205,1032,3756
黑龙江省,2019,3255,516.11,18212,3733.5,5855,1059,5148
上海市,2019,2481,413.82,3168,693.3,295,1130,1146
江苏省,2019,8469,1912.66,94475,6036,10409,4268,12414
浙江省,2019,6375,1661.27,72799,3830.8,10563,3236,11905
安徽省,2019,6092,907.83,45643,5344.4,11993,2603,11088
福建省,2019,4137,680.33,31199,2235.6,9090,1821,9111
江西省,2019,4516,601.21,45933,6547.4,6743,1999,6481
