城市名,县区名,年份,城乡养老保险参保万人,城乡养老保险缴费万人,城乡养老保险离退休万人,城乡养老保险缴费万元,城乡养老保险支出万元,企业养老保险参保万人,企业养老保险缴费万人,企业养老保险离退休万人,企业养老保险缴费万元,企业养老保险支出万元,机关养老保险参保人数,机关养老保险缴费人数,机关养老保险离退休人数,机关养老保险缴费万元,机关养老保险支出万元,所属省份
甘南藏族自治州,临潭县,2023,9.5118,,,1175.77,4009.76,0.1868,,,2165,2085,6615,,,11789.97,11152.2,甘肃省
甘南藏族自治州,临潭县,2022,9.6024,,,1332,3377,0.1586,,,1668,1997,6590,,,12033,10307,甘肃省
甘南藏族自治州,临潭县,2021,9.6449,,,1728.02,3359.94,0.149,,,1550,1811,6540,,,12909.34,10158.36,甘肃省
甘南藏族自治州,临潭县,2020,9.7478,,,1506.49,3034.82,0.1316,,,1099.99,1672.35,6646,,,11254.26,9370.35,甘肃省
甘南藏族自治州,临潭县,2019,9.7144,,,1157.53,2945.48,0.129,,,990.2,1605.85,6453,,,13660.65,8430.92,甘肃省
甘南藏族自治州,玛曲县,2023,,,,513.7,727.53,0.1614,,,2370,2392,,3295,,7587,9340,甘肃省
甘南藏族自治州,玛曲县,2022,,,,,,,1691,,2400,968,,3230,,8868,9079,甘肃省
甘南藏族自治州,玛曲县,2021,,,,1014,565,,0.14,,1704.5,1804,,4400,,7108,7963,甘肃省
甘南藏族自治州,舟曲县,2019,,,1.7248,,2708.5,,,,,,,,,,,甘肃省
甘南藏族自治州,卓尼县,2019,5.9884,,,,,0.1075,0.0565,0.051,,,6304,5184,1120,,,甘肃省
甘南藏族自治州,卓尼县,2018,5.7943,,,,,0.925,0.867,0.058,,,6602,5440,1162,,,甘肃省
甘南藏族自治州,卓尼县,2017,5.3652,,,,,0.0767,0.0189,0.0578,,,4546,3748,798,,,甘肃省
甘南藏族自治州,卓尼县,2016,5.1917,,,,,,,,,,1462,,,,,甘肃省
甘南藏族自治州,卓尼县,2015,5.4637,,,,,,,,,,1295,,,,,甘肃省
甘南藏族自治州,卓尼县,2014,5.4989,,,,,,,,,,1483,,,,,甘肃省
甘孜藏族自治州,白玉县,2021,,,,,,0.2582,,,,,2420,,,,,四川省
甘孜藏族自治州,得荣县,2022,1.2704,0.9789,0.2915,,,0.183,0.157,0.026,1873.59,,2696,2097,599,4914.27,,四川省
甘孜藏族自治州,得荣县,2021,1.2704,0.9789,0.2915,,,0.1791,0.1544,0.0247,1552.17,,2696,2097,599,4560.34,,四川省
甘孜藏族自治州,得荣县,2020,1.5703,1.2805,0.2898,,,0.1432,0.1201,0.0231,1008.4,,2562,1993,569,4730.98,,四川省
甘孜藏族自治州,九龙县,2022,2.4202,1.7752,0.645,1178.7,,0.6271,0.5921,0.035,5897.3,,3974,3821,153,6192.8,,四川省
甘孜藏族自治州,九龙县,2021,2.3969,1.8274,0.5695,1098.4,,0.5456,0.4379,0.1077,4250.59,,3700,2704,996,6254.89,,四川省
甘孜藏族自治州,康定市,2021,,,,,,,,,,,,,,,,四川省
甘孜藏族自治州,理塘县,2023,3.17,2.72,0.45,279.89,,0.37,0.29,0.08,4000.96,,4800,3300,1500,9780.87,,四川省
甘孜藏族自治州,色达县,2022,2.4137,2.0045,0.4092,265.5,,0.1788,0.1188,0.06,,,2512,1553,959,6849.6181,,四川省
甘孜藏族自治州,色达县,2021,2.2176,1.8002,0.4174,317.75,,0.1961,0.1367,0.0594,2306.4589,,2462,1508,954,8634.0965,,四川省
甘孜藏族自治州,新龙县,2022,2.48,2,0.48,6,,0.37,0.262,0.108,1335,,3400,2630,770,3219,,四川省
赣州市,宁都县,2023,38.6,,,36100,,7.1,,,63400,,,,,41400,,江西省
赣州市,宁都县,2022,38.6,,,31000,,8.2,,,61200,,,,,36100,,江西省
赣州市,宁都县,2021,38.3,,,26900,,8.07,,,56500,,,,,32200,,江西省
广元市,青川县,2022,10.5218,,,,,2.6941,,,,,9743,,,,,四川省
广元市,旺苍县,2023,18.13,,,,,7.04,,,,,14600,,,,,四川省
广元市,旺苍县,2022,18.41,,,,,6.77,,,,,14300,,,,,四川省
广州市,黄埔区,2023,7.6,4.116666667,3.483333333,,42000,89.4,15.9,73.5,,305000,,,,,,广东省
广州市,黄埔区,2022,7.7,,,,,82.2,,,,,,,,,,广东省
广州市,黄埔区,2021,7.41,,,,,84.89,,,,,,,,,,广东省
广州市,黄埔区,2020,,,,,36000,,,,,,,,,,,广东省
贵阳市,南明区,2021,,3.87,,,,32.26,30.3376,1.9224,,,13474,8200,5274,,,贵州省
桂林市,龙胜各族自治县,2021,9.204,,,6180,,1.2131,,,10189,,4786,,,9074,,广西壮族自治区
桂林市,平乐县,2023,24.99,,,5477,,2.8,,,25156.72,,7800,,,17100,,广西壮族自治区
桂林市,平乐县,2022,21.46,,,3989,,2.61,,,21448.29,,7400,,,13100,,广西壮族自治区
果洛藏族自治州,班玛县,2020,1.8519,,,,,0.1789,,,,,1272,,,,,青海省
果洛藏族自治州,玛多县,2023,0.8173,,,,,0.1319,,,,,855,,,,,青海省
海南藏族自治州,贵德县,2020,4.4867,,,,,0.4805,0.3478,0.1327,,,4001,2409,1592,,,青海省
海西蒙古族藏族自治州,德令哈市,2022,2.9,,,,,3.509,,,,,11413,,,,,青海省
邯郸市,武安市,2023,36.2014,,,,,16.5799,,,,,31411,,,,,河北省
邯郸市,武安市,2021,36.7025,25.6458,11.0567,4898.85,18200,13.1411,11.5395,1.6016,95102,46534.68019,22451,14454,7997,79277,46668.15688,河北省
汉中市,南郑区,2020,34.06,,,,,2.98,,,,,18700,,,,,陕西省
杭州市,淳安县,2007,1.4918,,,,,1.7087,,,,,10653,,,,,浙江省
杭州市,淳安县,2006,1.2007,,,,,3.1206,,,,,10873,,,,,浙江省
杭州市,淳安县,2005,,,,,,2.7131,,,,,10929,,,,,浙江省
河池市,凤山县,2020,20.0313,,,,,,,,,,,,,,,广西壮族自治区
河池市,罗城仫佬族自治县,2020,17.18,,,,,,,,,21729,,,,,31131,广西壮族自治区
菏泽市,成武县,2023,,,11.94,,25100,,,1.322,,36900,,,8778,,78500,山东省
菏泽市,成武县,2022,,,11.42,,22600,,,1.2448,,34100,,,8245,,75600,山东省
菏泽市,成武县,2021,32.72,,,6931.88,20784.95,,,,31800,30600,27079,19526,7683,34947,39585,山东省
菏泽市,成武县,2020,32.329,,,6819.97,18342.5,4.7,,,26300,26500,19100,,,41050,40760,山东省
